X,Y,FID,Kode_Prov,Provinsi,Kasus_pos,Kasus_semb,Kasus_Meni
96.90952275,4.225081892,1,11,Aceh,10814,9367,432
99.05788785,2.184779215,2,12,Sumatera Utara,29198,25952,965
100.466805,-0.851914348,3,13,Sumatera Barat,36268,33058,783
101.812892,0.510525849,4,14,Riau,42698,37374,1050
103.59932,-1.61775,5,15,Jambi,7407,5987,108
104.1704194,-3.213346822,6,16,Sumatera Selatan,20068,17712,979
102.26312,-3.79116,7,17,Bengkulu,6630,5743,172
105.9869481,-2.252956411,8,19,Kepulauan Bangka Belitung,12822,11272,201
105.0183131,-4.918073087,9,18,Lampung,10838,9581,253
108.2022289,3.915947241,10,21,Kepulauan Riau,9381,8801,230
106.82649,-6.17148,11,31,Daerah Khusus Ibukota Jakarta,406205,393166,6625
107.6028079,-6.919980216,12,32,Jawa Barat,277553,243650,3678
110.2011125,-7.258970383,13,33,Jawa Tengah,183027,162823,8001
110.445367,-7.895013815,14,34,Daerah Istimewa Yogyakarta,38703,33636,948
112.7336788,-7.720113019,15,35,Jawa Timur,146808,134525,10600
106.1091971,-6.456181599,16,36,Banten,47101,43892,1200
115.131651,-8.369743261,17,51,Bali,44236,41608,1317
117.5068625,-8.606652084,18,52,Nusa Tenggara Barat,10291,7750,373
121.1418292,-8.604843332,19,53,Nusa Tenggara Timur,14200,12468,366
111.1207624,-0.085901234,20,61,Kalimantan Barat,7503,6548,43
113.1810479,-1.634340045,21,62,Kalimantan Tengah,19780,16577,442
115.3113078,-2.449779137,22,63,Kalimantan Selatan,32612,29518,937
116.4708584,0.461046227,23,64,Kalimantan Timur,68136,64718,1631
116.2167183,2.888820961,24,65,Kalimantan Utara,11702,10978,186
124.5353789,1.286097687,25,71,Sulawesi Utara,15638,12961,504
120.4495925,-1.459214954,26,72,Sulawesi Tengah,12125,11109,325
120.1611577,-3.747115712,27,73,Sulawesi Selatan,61419,60164,931
122.0786781,-4.132803971,28,74,Sulawesi Tenggara,10396,9818,209
123.06184,0.53707,29,75,Gorontalo,5355,4990,161
119.3434714,-2.461902015,30,76,Sulawesi Barat,5443,5251,118
129.360425,-3.126119343,31,81,Maluku,7515,7056,116
128.0159294,0.869337001,32,82,Maluku Utara,4414,4117,120
140,-5,33,94,Papua,20308,11223,207
132.9683417,-2.041723282,34,91,Papua Barat,8879,8371,147
113.915865,-0.989818182,35,0,Indonesia,0,0,0
